 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD          uJy       duJy      stdev       x2         m       dm
57584.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57585.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57586.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57587.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57588.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57589.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57590.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57591.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57592.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57593.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57594.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57595.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57596.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57597.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57598.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57599.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57600.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57601.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57602.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57603.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57604.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57605.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57606.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57607.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57608.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57609.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57610.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57611.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57612.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57613.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57614.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57615.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57616.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57617.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57618.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57619.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57620.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57621.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57622.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57623.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57624.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57625.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57626.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57627.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57628.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57629.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57630.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57631.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57632.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57633.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57634.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57635.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57636.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57637.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57638.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57639.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57640.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57641.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57642.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57643.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57644.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57645.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57646.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57647.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57648.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57649.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57650.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57651.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57652.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57653.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57654.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57655.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57656.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57657.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57658.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57659.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57660.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57661.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57662.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57663.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57664.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57665.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57666.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57667.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57668.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57669.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57670.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57671.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57672.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57673.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57674.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57675.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57676.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57677.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57678.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57679.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57680.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57681.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57682.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57683.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57684.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57685.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57686.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57687.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57688.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57689.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57690.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57691.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57692.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57693.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57694.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57695.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57696.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57697.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57698.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57699.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57700.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57701.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57702.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57703.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57704.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57705.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57706.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57707.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57708.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57709.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57710.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57711.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57712.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
